Site Name,MRBTSID,MRBTSNAME,local Ip Address,OSS Name,oss IP address
A3B0369A,174613,LA3B0369A,11.34.224.116,T7OSS,10.255.110.11
A3B0374A,156778,LA3B0374A,11.66.42.148,T7OSS,10.255.110.11
A3B0378C,273889,LA3B0378C,11.66.108.180,T7OSS,10.255.110.11
A3B0380A,13057,LA3B0380A,11.34.209.180,T7OSS,10.255.110.11
A3B0390A,14274,LA3B0390A,11.66.10.52,T7OSS,10.255.110.11
A3B0393B,162480,LA3B0393B,11.66.32.244,T7OSS,10.255.110.11
A3B0395B,167445,LA3B0395B2,11.34.32.85,T7OSS,10.255.110.11
A3B0398A,273894,LA3B0398A,11.34.206.20,T7OSS,10.255.110.11
A3B0402B,60187,LA3B0402B,11.34.6.20,T7OSS,10.255.110.11
A3B0402B,159270,LA3B0402B2,11.34.6.21,T7OSS,10.255.110.11
A3B0526A,141869,LA3B0526A,11.66.4.212,T7OSS,10.255.110.11
A3B0527A,97471,LA3B0527A,11.66.50.50,T7OSS,10.255.110.11
A3B0529A,196920,LA3B0529A,11.66.33.52,T7OSS,10.255.110.11
A3B0544A,14117,LA3B0544A,11.66.29.52,T7OSS,10.255.110.11
A3B0601A,868596,LA3B0601A,11.66.219.20,T7OSS,10.255.110.11
A3B0662A,872884,LA3B0662A,11.34.63.116,T7OSS,10.255.110.11
A3B0703A,273895,LA3B0703A,11.66.215.212,T7OSS,10.255.110.11
A3B0704A,273896,LA3B0704A,11.247.1.242,T7OSS,10.255.110.11
A3B0705A,273897,LA3B0705A,11.66.214.116,T7OSS,10.255.110.11
A3B0706A,273898,LA3B0706A,11.247.32.52,T7OSS,10.255.110.11
A3B0711A,273899,LA3B0711A,11.66.14.244,T7OSS,10.255.110.11
A3B0724B,277072,LA3B0724B,11.247.203.180,T7OSS,10.255.110.11
A3B0725A,273607,LA3B0725A,11.66.213.244,T7OSS,10.255.110.11
A3B0755A,284051,LA3B0755A,11.66.241.146,T7OSS,10.255.110.11
A3C0005A,78821,LA3C0005A2,11.34.183.53,T7OSS,10.255.110.11
A3C0006A,73231,LA3C0006A2,11.247.212.85,T7OSS,10.255.110.11
A3C0008D,78023,LA3C0008D2,11.34.193.181,T7OSS,10.255.110.11
A3C0009A,60521,LA3C0009A,11.247.152.20,T7OSS,10.255.110.11
A3C0011A,77655,LA3C0011A2,11.34.142.117,T7OSS,10.255.110.11
A3C0012A,60211,LA3C0012A,11.34.163.52,T7OSS,10.255.110.11
A3C0012A,78830,LA3C0012A2,11.34.163.53,T7OSS,10.255.110.11
A3C0013A,78931,LA3C0013A2,11.247.74.117,T7OSS,10.255.110.11
A3C0015B,77137,LA3C0015B2,11.247.200.21,T7OSS,10.255.110.11
A3C0015B,78932,LA3C0015B3,11.247.200.22,T7OSS,10.255.110.11
A3C0016A,64036,LA3C0016A,11.34.91.116,T7OSS,10.255.110.11
A3C0016A,78933,LA3C0016A2,11.34.91.117,T7OSS,10.255.110.11
A3C0017A,700523,LA3C0017A,11.247.92.20,T7OSS,10.255.110.11
A3C0018A,151182,LA3C0018A2,11.34.23.53,T7OSS,10.255.110.11
A3C0019A,77656,LA3C0019A2,11.247.48.117,T7OSS,10.255.110.11
A3C0021A,78403,LA3C0021A2,11.34.249.117,T7OSS,10.255.110.11
A3C0023A,60079,LA3C0023A,11.247.50.20,T7OSS,10.255.110.11
A3C0023A,11131,LA3C0023A2,11.247.50.21,T7OSS,10.255.110.11
A3C0024A,60080,LA3C0024A,11.247.134.52,T7OSS,10.255.110.11
A3C0024A,78774,LA3C0024A2,11.247.134.53,T7OSS,10.255.110.11
A3C0025A,78404,LA3C0025A2,11.247.84.21,T7OSS,10.255.110.11
A3C0026A,78831,LA3C0026A2,11.34.239.181,T7OSS,10.255.110.11
A3C0027A,700526,LA3C0027A,11.66.240.20,T7OSS,10.255.110.11
A3C0028A,60176,LA3C0028A,11.247.16.19,T7OSS,10.255.110.11
A3C0030A,77658,LA3C0030A2,11.247.176.245,T7OSS,10.255.110.11
A3C0031A,78775,LA3C0031A2,11.34.147.213,T7OSS,10.255.110.11
A3C0034D,78876,LA3C0034D2,11.247.70.21,T7OSS,10.255.110.11
A3C0035B,79574,LA3C0035B2,11.34.216.21,T7OSS,10.255.110.11
A3C0035B,156531,LA3C0035B3,11.34.216.22,T7OSS,10.255.110.11
A3C0036C,60239,LA3C0036C,11.247.187.180,T7OSS,10.255.110.11
A3C0036C,158646,LA3C0036C2,11.247.187.181,T7OSS,10.255.110.11
A3C0036C,158647,LA3C0036C3,11.247.187.182,T7OSS,10.255.110.11
A3C0037C,64038,LA3C0037C,11.247.220.20,T7OSS,10.255.110.11
A3C0038A,78792,LA3C0038A2,11.34.93.149,T7OSS,10.255.110.11
A3C0040A,162967,LA3C0040A2,11.34.201.149,T7OSS,10.255.110.11
A3C0040A,159614,LA3C0040A3,11.34.201.150,T7OSS,10.255.110.11
A3C0042A,64040,LA3C0042A,11.34.249.180,T7OSS,10.255.110.11
A3C0042A,10211,LA3C0042A2,11.34.249.181,T7OSS,10.255.110.11
A3C0043A,10855,LA3C0043A2,11.34.185.21,T7OSS,10.255.110.11
A3C0045A,64041,LA3C0045A,11.34.68.20,T7OSS,10.255.110.11
A3C0048A,163342,LA3C0048A2,11.34.249.213,T7OSS,10.255.110.11
A3C0049A,77638,LA3C0049A2,11.247.239.181,T7OSS,10.255.110.11
A3C0051A,150137,LA3C0051A2,11.247.249.21,T7OSS,10.255.110.11
A3C0052E,64044,LA3C0052E,11.247.96.244,T7OSS,10.255.110.11
A3C0052E,150397,LA3C0052E2,11.247.96.245,T7OSS,10.255.110.11
A3C0053E,60507,LA3C0053E,11.34.58.212,T7OSS,10.255.110.11
A3C0055B,150096,LA3C0055B2,11.34.247.85,T7OSS,10.255.110.11
A3C0056B,154662,LA3C0056B2,11.247.175.53,T7OSS,10.255.110.11
A3C0057B,77451,LA3C0057B2,11.247.187.245,T7OSS,10.255.110.11
A3C0058A,151720,LA3C0058A2,11.34.115.85,T7OSS,10.255.110.11
A3C0060A,77639,LA3C0060A2,11.34.104.149,T7OSS,10.255.110.11
A3C0061E,78396,LA3C0061E2,11.34.241.245,T7OSS,10.255.110.11
A3C0065A,162958,LA3C0065A2,11.34.241.21,T7OSS,10.255.110.11
A3C0066A,78832,LA3C0066A2,11.247.175.213,T7OSS,10.255.110.11
A3C0069A,60216,LA3C0069A,11.247.134.116,T7OSS,10.255.110.11
A3C0069A,159268,LA3C0069A2,11.247.134.117,T7OSS,10.255.110.11
A3C0070A,64050,LA3C0070A,11.34.71.84,T7OSS,10.255.110.11
A3C0070A,163033,LA3C0070A2,11.34.71.85,T7OSS,10.255.110.11
A3C0072C,78833,LA3C0072C2,11.34.88.53,T7OSS,10.255.110.11
A3C0073A,78129,LA3C0073A2,11.247.46.85,T7OSS,10.255.110.11
A3C0075B,60177,LA3C0075B,11.247.106.52,T7OSS,10.255.110.11
A3C0076A,10212,LA3C0076A2,11.34.110.245,T7OSS,10.255.110.11
A3C0077A,77637,LA3C0077A2,11.34.100.181,T7OSS,10.255.110.11
A3C0079A,60588,LA3C0079A,11.34.85.52,T7OSS,10.255.110.11
A3C0079A,10377,LA3C0079A2,11.34.85.53,T7OSS,10.255.110.11
A3C0080A,60527,LA3C0080A,11.247.206.20,T7OSS,10.255.110.11
